model,accuracy,precision,recall,f1_score,params_M
custom_cnn,0.944047619047619,0.9491033704812468,0.944047619047619,0.9424131580209704,0.32
resnet18,1.0,1.0,1.0,1.0,11.18
efficientnet_b0,0.9964285714285714,0.9964936479128856,0.9964285714285714,0.9964274590163935,4.01
mobilenet_v3,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714,1.52
vit_b16,1.0,1.0,1.0,1.0,85.8
